Queries,Intent,Entity
Who is the leading voice in 'Finding Nemo'?,Lead Actor,Finding Nemo:MOVIE_TITLE
Can you identify the lead voice actor in 'Toy Story'?,Lead Actor,Toy Story:MOVIE_TITLE
Who was the lead actor in 'Beauty and the Beast' (1991)?,Lead Actor,Beauty and the Beast:MOVIE_TITLE
Who voiced the main character in 'The Little Mermaid'?,Lead Actor,The Little Mermaid:MOVIE_TITLE
Who is the lead actor in 'The Notebook'?,Lead Actor,The Notebook:MOVIE_TITLE
Can you tell me who starred in 'Pride and Prejudice'?,Lead Actor,Pride and Prejudice:MOVIE_TITLE
Who played the leading role in 'La La Land'?,Lead Actor,La La Land:MOVIE_TITLE
Who portrays the protagonist in 'Titanic'?,Lead Actor,Titanic:MOVIE_TITLE
"I'm curious, who is the lead actor in 'A Walk to Remember'?",Lead Actor,A Walk to Remember:MOVIE_TITLE
Who provided the lead performance in 'Romeo + Juliet' (1996)?,Lead Actor,Romeo + Juliet:MOVIE_TITLE
Who is the leading star in 'Eternal Sunshine of the Spotless Mind'?,Lead Actor,Eternal Sunshine of the Spotless Mind:MOVIE_TITLE
Can you identify the lead actor in 'Before Sunrise'?,Lead Actor,Before Sunrise:MOVIE_TITLE
Who was the lead actor in 'The Fault in Our Stars'?,Lead Actor,The Fault in Our Stars:MOVIE_TITLE
Who plays the main character in 'Call Me by Your Name'?,Lead Actor,Call Me by Your Name:MOVIE_TITLE
"Who stars as the lead in 'Crazy, Stupid, Love'?",Lead Actor,"Crazy, Stupid, Love:MOVIE_TITLE"
Can you tell me the leading actor in '10 Things I Hate About You'?,Lead Actor,10 Things I Hate About You:MOVIE_TITLE
"I'm curious, who is the main actor in 'The Proposal'?",Lead Actor,The Proposal:MOVIE_TITLE
Who played the lead role in 'Notting Hill'?,Lead Actor,Notting Hill:MOVIE_TITLE
Who is the principal actor in 'When Harry Met Sally'?,Lead Actor,When Harry Met Sally:MOVIE_TITLE
I'd like to know the lead actor in 'Silver Linings Playbook'.,Lead Actor,Silver Linings Playbook:MOVIE_TITLE
Who took the lead in 'Bridget Jones's Diary'?,Lead Actor,Bridget Jones's Diary:MOVIE_TITLE
Who is the leading man in 'Forgetting Sarah Marshall'?,Lead Actor,Forgetting Sarah Marshall:MOVIE_TITLE
Can you identify the lead actor in 'Love Actually'?,Lead Actor,Love Actually:MOVIE_TITLE
Who was the lead actor in 'The Big Sick'?,Lead Actor,The Big Sick:MOVIE_TITLE
Who is the lead actor in 'Die Hard'?,Lead Actor,Die Hard:MOVIE_TITLE
Can you tell me who starred in 'Mad Max: Fury Road'?,Lead Actor,Mad Max: Fury Road:MOVIE_TITLE
Who played the main role in 'John Wick'?,Lead Actor,John Wick:MOVIE_TITLE
"I'm curious, who is the lead in 'The Bourne Identity'?",Lead Actor,The Bourne Identity:MOVIE_TITLE
Who was the principal actor in 'Mission - Impossible'?,Lead Actor,Mission - Impossible:MOVIE_TITLE
I'd like to know the lead actor in 'Gladiator'.,Lead Actor,Gladiator:MOVIE_TITLE
Who took on the leading role in 'The Dark Knight'?,Lead Actor,The Dark Knight:MOVIE_TITLE
Who is the leading man in 'Lethal Weapon'?,Lead Actor,Lethal Weapon:MOVIE_TITLE
Can you identify the lead actor in 'The Terminator'?,Lead Actor,The Terminator:MOVIE_TITLE
Who was the lead actor in 'Indiana Jones and the Last Crusade'?,Lead Actor,Indiana Jones and the Last Crusade:MOVIE_TITLE
Who is the lead actor in 'Gone with the Wind'?,Lead Actor,Gone with the Wind:MOVIE_TITLE
Can you tell me who starred in 'Casablanca'?,Lead Actor,Casablanca:MOVIE_TITLE
Who played the main role in 'To Kill a Mockingbird'?,Lead Actor,To Kill a Mockingbird:MOVIE_TITLE
"I'm curious, who was the leading actor in 'The Grapes of Wrath'?",Lead Actor,The Grapes of Wrath:MOVIE_TITLE
Who was in the lead role for 'Rebel Without a Cause'?,Lead Actor,Rebel Without a Cause:MOVIE_TITLE
Can you identify the lead actor in 'Citizen Kane'?,Lead Actor,Citizen Kane:MOVIE_TITLE
Who led the cast in 'The Maltese Falcon'?,Lead Actor,The Maltese Falcon:MOVIE_TITLE
Who was the principal actor in 'It's a Wonderful Life'?,Lead Actor,It's a Wonderful Life:MOVIE_TITLE
I'd like to know the lead actor in 'Singin' in the Rain'.,Lead Actor,Singin' in the Rain:MOVIE_TITLE
Who took the leading role in 'Sunset Boulevard'?,Lead Actor,Sunset Boulevard:MOVIE_TITLE
Who stars as the lead in 'The Great Gatsby' (2013)?,Lead Actor,The Great Gatsby:MOVIE_TITLE
Can you tell me the leading actor in 'Pride and Prejudice' (2005)?,Lead Actor,Pride and Prejudice:MOVIE_TITLE
"I'm curious, who is the main actor in 'Harry Potter and the Sorcerer's Stone'?",Lead Actor,Harry Potter and the Sorcerer's Stone:MOVIE_TITLE
Who played the lead role in 'The Hunger Games'?,Lead Actor,The Hunger Games:MOVIE_TITLE
Who is the principal actor in 'Gone Girl'?,Lead Actor,Gone Girl:MOVIE_TITLE
I'd like to know the lead actor in 'The Lord of the Rings: The Fellowship of the Ring'.,Lead Actor,The Lord of the Rings: The Fellowship of the Ring:MOVIE_TITLE
Who took the lead in 'The Shawshank Redemption'?,Lead Actor,The Shawshank Redemption:MOVIE_TITLE
Who is the leading man in 'To Kill a Mockingbird'?,Lead Actor,To Kill a Mockingbird:MOVIE_TITLE
Can you identify the lead actor in 'Fight Club'?,Lead Actor,Fight Club:MOVIE_TITLE
Who was the lead actor in 'The Shining'?,Lead Actor,The Shining:MOVIE_TITLE
Who is the lead actor in 'The Shining'?,Lead Actor,The Shining:MOVIE_TITLE
Can you tell me who starred in 'Halloween' (1978)?,Lead Actor,Halloween:MOVIE_TITLE
Who played the main role in 'Get Out'?,Lead Actor,Get Out:MOVIE_TITLE
"I'm curious, who was the leading actor in 'It' (2017)?",Lead Actor,It:MOVIE_TITLE
Who was in the lead role for 'A Nightmare on Elm Street'?,Lead Actor,A Nightmare on Elm Street:MOVIE_TITLE
Can you identify the lead actor in 'The Exorcist'?,Lead Actor,The Exorcist:MOVIE_TITLE
Who led the cast in 'Hereditary'?,Lead Actor,Hereditary:MOVIE_TITLE
Who was the principal actor in 'Psycho' (1960)?,Lead Actor,Psycho:MOVIE_TITLE
I'd like to know the lead actor in 'The Conjuring'.,Lead Actor,The Conjuring:MOVIE_TITLE
Who took the leading role in 'Alien' (1979)?,Lead Actor,Alien:MOVIE_TITLE
Who stars as the lead in 'Gone with the Wind'?,Lead Actor,Gone with the Wind:MOVIE_TITLE
Can you tell me the leading actor in 'Casablanca'?,Lead Actor,Casablanca:MOVIE_TITLE
Who played the main role in 'On the Waterfront'?,Lead Actor,On the Waterfront:MOVIE_TITLE
"I'm curious, who was the leading actor in 'A Streetcar Named Desire'?",Lead Actor,A Streetcar Named Desire:MOVIE_TITLE
Who was in the lead role for 'The Godfather'?,Lead Actor,The Godfather:MOVIE_TITLE
Can you identify the lead actor in '12 Angry Men'?,Lead Actor,12 Angry Men:MOVIE_TITLE
Who led the cast in 'To Kill a Mockingbird'?,Lead Actor,To Kill a Mockingbird:MOVIE_TITLE
Who was the principal actor in 'Schindler's List'?,Lead Actor,Schindler's List:MOVIE_TITLE
I'd like to know the lead actor in 'Lawrence of Arabia'.,Lead Actor,Lawrence of Arabia:MOVIE_TITLE
Who took the leading role in 'The Bridge on the River Kwai'?,Lead Actor,The Bridge on the River Kwai:MOVIE_TITLE
When was The Godfather released?,Release Date,The Godfather:MOVIE_TITLE
What is the release date of 'Inception'?,Release Date,Inception:MOVIE_TITLE
Can you tell me when 'The Matrix' first premiered?,Release Date,The Matrix:MOVIE_TITLE
When was 'Gone with the Wind' released?,Release Date,Gone with the Wind:MOVIE_TITLE
I need to know the debut date of 'Jurassic Park'.,Release Date,Jurassic Park:MOVIE_TITLE
What was the launch date for 'Titanic'?,Release Date,Titanic:MOVIE_TITLE
When did 'Casablanca' hit the theaters?,Release Date,Casablanca:MOVIE_TITLE
Can you specify the release timing of 'Avatar'?,Release Date,Avatar:MOVIE_TITLE
I'm curious about the official release of 'Forrest Gump'.,Release Date,Forrest Gump:MOVIE_TITLE
What date was 'Back to the Future' first shown?,Release Date,Back to the Future:MOVIE_TITLE
When did 'The Shawshank Redemption' first come out?,Release Date,The Shawshank Redemption:MOVIE_TITLE
What was the premiere date for 'Toy Story'?,Release Date,Toy Story:MOVIE_TITLE
Can you provide the debut date of 'Finding Nemo'?,Release Date,Finding Nemo:MOVIE_TITLE
When was 'The Incredibles' first shown in cinemas?,Release Date,The Incredibles:MOVIE_TITLE
I need the launch year of 'WALL-E'. Do you know it?,Release Date,WALL-E:MOVIE_TITLE
What's the official release date for 'Up'?,Release Date,Up:MOVIE_TITLE
When did 'Inside Out' get released to the public?,Release Date,Inside Out:MOVIE_TITLE
Could you tell me the release day of 'Coco'?,Release Date,Coco:MOVIE_TITLE
"I'm looking for the release information on 'Monsters, Inc.'.",Release Date,"Monsters, Inc.:MOVIE_TITLE"
Do you have the exact date 'Cars' hit the theaters?,Release Date,Cars:MOVIE_TITLE
When was 'Ratatouille' officially released?,Release Date,Ratatouille:MOVIE_TITLE
What date was 'The Lion King' originally released?,Release Date,The Lion King:MOVIE_TITLE
Can you specify the release year of 'Aladdin' (1992)?,Release Date,Aladdin:MOVIE_TITLE
When did 'Beauty and the Beast' first premiere?,Release Date,Beauty and the Beast:MOVIE_TITLE
I'm interested in the debut of 'Frozen'. When was it?,Release Date,Frozen:MOVIE_TITLE
What's the official release date for 'Moana'?,Release Date,Moana:MOVIE_TITLE
Do you know the release day for 'Tangled'?,Release Date,Tangled:MOVIE_TITLE
When was 'The Little Mermaid' first shown in theaters?,Release Date,The Little Mermaid:MOVIE_TITLE
Could you tell me when 'Mulan' was released?,Release Date,Mulan:MOVIE_TITLE
I need the release information for 'Pocahontas'.,Release Date,Pocahontas:MOVIE_TITLE
When did 'Cinderella' (1950) officially hit the big screen?,Release Date,Cinderella:MOVIE_TITLE
What's the release date for 'Pretty Woman'?,Release Date,Pretty Woman:MOVIE_TITLE
When was '10 Things I Hate About You' first shown in theaters?,Release Date,10 Things I Hate About You:MOVIE_TITLE
Can you tell me the debut year of 'The Proposal'?,Release Date,The Proposal:MOVIE_TITLE
I need the official premiere date of 'Notting Hill'.,Release Date,Notting Hill:MOVIE_TITLE
When did 'Love Actually' come out?,Release Date,Love Actually:MOVIE_TITLE
Do you know the release day for 'Bridget Jones’s Diary'?,Release Date,Bridget Jones’s Diary:MOVIE_TITLE
What date was 'When Harry Met Sally' released?,Release Date,When Harry Met Sally:MOVIE_TITLE
"I'm looking for the release information on 'Crazy, Stupid, Love'.",Release Date,"Crazy, Stupid, Love:MOVIE_TITLE"
Could you tell me when 'Silver Linings Playbook' was first available?,Release Date,Silver Linings Playbook:MOVIE_TITLE
What's the official launch date of 'My Big Fat Greek Wedding'?,Release Date,My Big Fat Greek Wedding:MOVIE_TITLE
What was the official release date for 'Blade Runner'?,Release Date,Blade Runner:MOVIE_TITLE
Can you tell me when 'The Matrix' first hit theaters?,Release Date,The Matrix:MOVIE_TITLE
When did 'Inception' debut in cinemas?,Release Date,Inception:MOVIE_TITLE
I'm curious about the premiere date of 'Interstellar'.,Release Date,Interstellar:MOVIE_TITLE
What's the release day for 'Star Wars: A New Hope'?,Release Date,Star Wars: A New Hope:MOVIE_TITLE
Do you know the launch date of 'Alien' (1979)?,Release Date,Alien:MOVIE_TITLE
When was 'Back to the Future' officially released?,Release Date,Back to the Future:MOVIE_TITLE
Could you tell me the release date for 'The Fifth Element'?,Release Date,The Fifth Element:MOVIE_TITLE
I need the release information for 'Avatar'.,Release Date,Avatar:MOVIE_TITLE
When did 'E.T. the Extra-Terrestrial' first premiere?,Release Date,E.T. the Extra-Terrestrial:MOVIE_TITLE
What was the official release date for 'The Hunger Games'?,Release Date,The Hunger Games:MOVIE_TITLE
Can you tell me when 'Blade Runner 2049' first hit theaters?,Release Date,Blade Runner 2049:MOVIE_TITLE
When did 'Divergent' debut in cinemas?,Release Date,Divergent:MOVIE_TITLE
When was 'The Giver' first shown in theaters?,Release Date,The Giver:MOVIE_TITLE
Can you tell me when 'The Maze Runner' debuted?,Release Date,The Maze Runner:MOVIE_TITLE
What day did 'Ender's Game' come out?,Release Date,Ender's Game:MOVIE_TITLE
Do you know the premiere date of 'The Host'?,Release Date,The Host:MOVIE_TITLE
"When did 'Insurgent', the sequel to 'Divergent', get released?",Release Date,Insurgent:MOVIE_TITLE
Could you provide the release information for 'The 5th Wave'?,Release Date,The 5th Wave:MOVIE_TITLE
I'm looking for the debut date of 'Ready Player One'.,Release Date,Ready Player One:MOVIE_TITLE
When was 'Mortal Engines' officially launched?,Release Date,Mortal Engines:MOVIE_TITLE
Do you know when 'Twilight' first came out?,Release Date,Twilight:MOVIE_TITLE
When did 'The Fault in Our Stars' hit theaters?,Release Date,The Fault in Our Stars:MOVIE_TITLE
What was the launch year for 'Paper Towns'?,Release Date,Paper Towns:MOVIE_TITLE
Could you tell me the release day of 'City of Bones'?,Release Date,City of Bones:MOVIE_TITLE
I need the release information for 'Beautiful Creatures'.,Release Date,Beautiful Creatures:MOVIE_TITLE
When was 'Percy Jackson & the Olympians: The Lightning Thief' released?,Release Date,Percy Jackson & the Olympians: The Lightning Thief:MOVIE_TITLE
When did 'The Twilight Saga: Eclipse' debut in cinemas?,Release Date,The Twilight Saga: Eclipse:MOVIE_TITLE
I'm curious about the premiere date of 'The Twilight Saga: Breaking Dawn – Part 1'.,Release Date,The Twilight Saga: Breaking Dawn – Part 1:MOVIE_TITLE
What's the release day for 'The Twilight Saga: Breaking Dawn – Part 2'?,Release Date,The Twilight Saga: Breaking Dawn – Part 2:MOVIE_TITLE
When was 'Eternal Shadows' officially released?,Release Date,Eternal Shadows:MOVIE_TITLE
Can you tell me the release date of 'Beyond the Horizon'?,Release Date,Beyond the Horizon:MOVIE_TITLE
What's the premiere date for 'City of Dreams'?,Release Date,City of Dreams:MOVIE_TITLE
I'm curious about the debut date of 'The Last Stand'.,Release Date,The Last Stand:MOVIE_TITLE
Do you know when 'Ocean's Echo' first came out?,Release Date,Ocean's Echo:MOVIE_TITLE
When did 'Whispering Willows' hit theaters?,Release Date,Whispering Willows:MOVIE_TITLE
What was the launch year for 'Starlight Voyage'?,Release Date,Starlight Voyage:MOVIE_TITLE
Could you tell me the release day of 'Sands of Time'?,Release Date,Sands of Time:MOVIE_TITLE
I need the release information for 'Echoes of the Past'.,Release Date,Echoes of the Past:MOVIE_TITLE
When was 'Rising Phoenix' officially released?,Release Date,Rising Phoenix:MOVIE_TITLE
What was the official release date for 'Barbie in the Nutcracker'?,Release Date,Barbie in the Nutcracker:MOVIE_TITLE
Can you tell me when 'Barbie as Rapunzel' first premiered?,Release Date,Barbie as Rapunzel:MOVIE_TITLE
When did 'Barbie: Princess Charm School' debut in cinemas?,Release Date,Barbie: Princess Charm School:MOVIE_TITLE
I'm curious about the premiere date of 'Barbie in A Mermaid Tale'.,Release Date,Barbie in A Mermaid Tale:MOVIE_TITLE
What's the release day for 'Barbie and the Diamond Castle'?,Release Date,Barbie and the Diamond Castle:MOVIE_TITLE
Do you know the launch date of 'Barbie as The Island Princess'?,Release Date,Barbie as The Island Princess:MOVIE_TITLE
When was 'Barbie: Fairytopia' officially released?,Release Date,Barbie: Fairytopia:MOVIE_TITLE
Could you tell me the release date for 'Barbie of Swan Lake'?,Release Date,Barbie of Swan Lake:MOVIE_TITLE
I need the release information for 'Barbie: Mariposa'.,Release Date,Barbie: Mariposa:MOVIE_TITLE
When was 'Barbie and the Magic of Pegasus' first shown?,Release Date,Barbie and the Magic of Pegasus:MOVIE_TITLE
What was the official release date for 'The Princess Diaries'?,Release Date,The Princess Diaries:MOVIE_TITLE
Can you tell me when 'The Princess Bride' first premiered?,Release Date,The Princess Bride:MOVIE_TITLE
